Date,Flight Number,Destination,Delay,Month
6/1/15,73,HNL,257,June
6/1/15,217,EWR,28,June
6/1/15,237,STL,-3,June
6/1/15,250,SAN,0,June
6/1/15,267,PHL,64,June
6/1/15,273,SEA,-6,June
6/1/15,278,SEA,-8,June
6/1/15,292,EWR,12,June
6/1/15,300,HNL,20,June
6/1/15,317,IND,-10,June
6/1/15,318,DEN,29,June
6/1/15,322,SEA,3,June
6/1/15,331,DEN,-7,June
6/1/15,355,IAD,0,June
6/1/15,358,LAS,-1,June
6/1/15,388,ORD,-9,June
6/1/15,392,LAS,-9,June
6/1/15,408,IAD,14,June
6/1/15,433,LAX,10,June
6/1/15,434,LAS,-3,June
6/1/15,464,PDX,-3,June
6/1/15,468,IAH,23,June
6/1/15,477,ORD,10,June
6/1/15,478,LAX,0,June
6/1/15,480,PIT,5,June
6/1/15,500,MSP,28,June
6/1/15,502,JFK,-4,June
6/1/15,522,PDX,36,June
6/1/15,525,LAX,-4,June
6/1/15,560,SEA,1,June
6/1/15,577,EWR,-9,June
6/1/15,595,PDX,-4,June
6/1/15,624,ORD,10,June
6/1/15,637,JFK,141,June
6/1/15,650,AUS,44,June
6/1/15,663,HNL,4,June
6/1/15,671,DEN,74,June
6/1/15,680,ORD,-3,June
6/1/15,698,ORD,4,June
6/1/15,704,JFK,-8,June
6/1/15,705,ORD,-1,June
6/1/15,714,LAS,-5,June
6/1/15,715,PHX,-1,June
6/1/15,718,SAN,7,June
6/1/15,720,DEN,127,June
6/1/15,721,DFW,0,June
6/1/15,728,ORD,-2,June
6/1/15,740,LAS,-4,June
6/1/15,753,LAS,-7,June
6/1/15,756,DEN,-3,June
6/1/15,758,JFK,-5,June
6/1/15,760,JFK,352,June
6/1/15,768,BOS,-9,June
6/1/15,769,LAX,55,June
6/1/15,794,LIH,17,June
6/1/15,814,LAX,-3,June
6/1/15,824,JFK,3,June
6/1/15,898,JFK,290,June
6/1/15,995,ORD,24,June
6/1/15,1002,LAX,38,June
6/1/15,1029,LAS,16,June
6/1/15,1038,IAH,103,June
6/1/15,1057,DEN,0,June
6/1/15,1065,EWR,0,June
6/1/15,1074,ORD,-2,June
6/1/15,1076,IAD,3,June
6/1/15,1083,LAX,98,June
6/1/15,1106,MCO,2,June
6/1/15,1118,EWR,34,June
6/1/15,1120,IAH,125,June
6/1/15,1124,LAS,-1,June
6/1/15,1130,LAX,189,June
6/1/15,1131,EWR,122,June
6/1/15,1132,DFW,10,June
6/1/15,1135,RDU,38,June
6/1/15,1138,MSY,10,June
6/1/15,1149,EWR,15,June
6/1/15,1156,EWR,10,June
6/1/15,1167,SEA,101,June
6/1/15,1171,DEN,17,June
6/1/15,1185,EWR,97,June
6/1/15,1192,LAX,-4,June
6/1/15,1195,IAH,11,June
6/1/15,1197,IAH,43,June
6/1/15,1199,MCO,96,June
6/1/15,1204,SEA,4,June
6/1/15,1226,SNA,-1,June
6/1/15,1247,BOS,-3,June
6/1/15,1250,IAH,-3,June
6/1/15,1257,ANC,52,June
6/1/15,1263,ORD,148,June
6/1/15,1266,EWR,0,June
6/1/15,1267,SAN,-1,June
6/1/15,1268,IAD,0,June
6/1/15,1273,OGG,3,June
6/1/15,1291,BOS,-2,June
6/1/15,1402,SAN,52,June
6/1/15,1405,LAS,-1,June
6/1/15,1415,IAH,2,June
6/1/15,1422,PHL,-2,June
6/1/15,1440,BOS,50,June
6/1/15,1455,SAN,34,June
6/1/15,1457,IAH,5,June
6/1/15,1474,DEN,-1,June
6/1/15,1511,PHX,-1,June
6/1/15,1523,EWR,87,June
6/1/15,1526,CLE,7,June
6/1/15,1531,RDU,9,June
6/1/15,1534,SEA,-2,June
6/1/15,1558,IAD,-1,June
6/1/15,1563,BWI,-3,June
6/1/15,1568,FLL,18,June
6/1/15,1581,OGG,20,June
6/1/15,1583,EWR,12,June
6/1/15,1586,ORD,19,June
6/1/15,1589,IAH,1,June
6/1/15,1591,LAX,0,June
6/1/15,1601,DEN,5,June
6/1/15,1602,ATL,6,June
6/1/15,1614,SAN,66,June
6/1/15,1616,SEA,0,June
6/1/15,1634,BOS,0,June
6/1/15,1637,SEA,53,June
6/1/15,1642,BOS,15,June
6/1/15,1645,IAD,7,June
6/1/15,1662,BOS,35,June
6/1/15,1668,ORD,36,June
6/1/15,1670,HNL,3,June
6/1/15,1673,ORD,-5,June
6/1/15,1681,CLE,-4,June
6/1/15,1686,DCA,32,June
6/1/15,1709,ORD,-8,June
6/1/15,1710,LAX,-1,June
